job_id	out	verdict	required	mechanism	sample
w126:353	4	SIBLING_DEPENDENT	n4	ZEROED	eager=[0.0, 1.0, 1.0, 1.0] et=[0.0, 0.0, 0.0, 0.0]
w126:439	0	SIBLING_DEPENDENT	n4,n6	ZEROED	eager=[-0.482491, 0.627862, 1.561878, 2.725464] et=[0.0, 0.0, 0.0, 0.0]
w126:449	1	SIBLING_DEPENDENT	n4	ZEROED	eager=[0.693359, 0.693359] et=[0.0, 0.0]
w126:706	1	SIBLING_DEPENDENT	n7	ZEROED	eager=[-2.356194, -2.356194] et=[-0.0, -0.0]
w127:104	0	SIBLING_DEPENDENT	n5	ZEROED	eager=[0.0, 0.0, 0.0, 0.0] et=[0.0, 0.0, 0.0, 0.0]
w127:121	1	SIBLING_DEPENDENT	n7	ZEROED	eager=[1.0, 1.0] et=[0.0, 0.0]
w127:162	1	SIBLING_DEPENDENT	n7	REF-NONFINITE (filter)	eager=[nan, nan] et=[-inf, -inf]
w127:367	2	SIBLING_DEPENDENT	n5,n7	ZEROED	eager=[-1.15794, -0.909962, -0.414007, -0.166029] et=[0.0, 0.0, 0.0, 0.0]
w127:63	3	COMPOSITIONAL	n4	WRONG-VALUE	eager=[0.0] et=[24.0]
w127:663	2	COMPOSITIONAL	n8	NONFINITE	eager=[17.53125] et=[nan]
w12:176	1	SIBLING_DEPENDENT	n2	WRONG-VALUE	eager=[-2.282943, -0.167572, 3.690572, 1.470984] et=[-2.284577, -0.167558, 3.697182, 1.47063]
w12:215	1	SIBLING_DEPENDENT	n6	ZEROED	eager=[1.0, 1.0, 1.0, 1.0] et=[0.0, 0.0, 0.0, 0.0]
w12:292	1	SIBLING_DEPENDENT	n7	ZEROED	eager=[-0.465497, 0.957294, 0.833938, 0.992451] et=[0.0, 0.0, 0.0, 0.0]
w12:316	2	SIBLING_DEPENDENT	n6	SCALE:0.368	eager=[2.71875, 2.71875, 2.71875, 2.71875] et=[1.0, 1.0, 1.0, 1.0]
w12:358	0	COMPOSITIONAL	n0	REF-NONFINITE (filter)	eager=[nan] et=[-65504.0]
w12:366	1	COMPOSITIONAL	n2,n1,n0	ZEROED	eager=[1.0, 1.0] et=[0.0, 0.0]
w12:533	2	SIBLING_DEPENDENT	n12	ZEROED	eager=[9.0, 254.0, 4.0, 0.0] et=[0.0, 0.0, 0.0, 0.0]
w12:674	0	SIBLING_DEPENDENT	n4	ZEROED	eager=[-0.15794, -0.166029, 0.306189, 0.973745] et=[0.0, 0.0, 0.0, 0.0]
w13:162	0	SIBLING_DEPENDENT	n4	REF-NONFINITE (filter)	eager=[nan, 3.525391] et=[0.0, 3.523438]
w13:235	3	SIBLING_DEPENDENT	n2	WRONG-VALUE	eager=[0.0, 0.0, 0.0, 0.0] et=[0.0, 1.0, 1.0, 1.0]
w13:397	0	SIBLING_DEPENDENT	n5	ZEROED	eager=[-0.465497, 0.957294] et=[0.0, 0.0]
w13:639	0	SIBLING_DEPENDENT	n3	ZEROED	eager=[-0.482491] et=[0.0]
w14:14	2	SIBLING_DEPENDENT	n8,n11	ZEROED	eager=[1.0, 1.0, 1.0, 1.0] et=[0.0, 0.0, 0.0, 0.0]
w14:402	0	SIBLING_DEPENDENT	n5	ZEROED	eager=[-0.482491, 0.934016, 0.513757, 0.102609] et=[0.0, 0.0, 0.0, 0.0]
w14:459	2	SIBLING_DEPENDENT	n11	WRONG-VALUE	eager=[0.0, 1.0, 0.0, 0.0] et=[1.0, 1.0, 1.0, 1.0]
w14:460	0	SIBLING_DEPENDENT	n5	REF-NONFINITE (filter)	eager=[nan, 0.0] et=[0.0, 0.0]
