job_id	out_idx	verdict	cone_size	required	detail
w52:443	0	COMPOSITIONAL	1	n0	
w52:564	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w53:204	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w54:221	0	SIBLING_DEPENDENT	3	n6,n8	
w55:464	3	SIBLING_DEPENDENT	3	n5	
w55:749	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w55:756	0	OPERATOR	3		
w56:240	0	COMPOSITIONAL	2	n0,n1	
w57:212	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w57:248	0	OPERATOR	1		
w57:539	0	COMPOSITIONAL	2	n1	
w57:599	1	ERROR			DEV:SKIP
w59:245	1	OPERATOR	4		
w6:20	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w6:248	4	OPERATOR	2		
w6:268	1	COMPOSITIONAL	4	n4	
w6:341	1	OPERATOR	4		
w6:408	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w6:715	0	SIBLING_DEPENDENT	2	n7	
w61:781	0	OPERATOR	5		
w62:165	1	OPERATOR	1		
w62:237	1	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w63:307	2	OPERATOR	2		
w64:359	0	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w64:530	4	OPERATOR	2		
w64:623	0	ERROR			DEV:SKIP
w65:128	3	SIBLING_DEPENDENT	5	n6	
w65:504	5	COMPOSITIONAL	2	n4	
w66:454	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w66:754	3	OPERATOR	1		
w66:83	1	CONE_LOCAL_CANT_SPLIT	7		cone_build_skip
w67:743	0	SIBLING_DEPENDENT	4	n4	
w68:199	1	COMPOSITIONAL	2	n2	
w68:576	3	OPERATOR	1		
w69:148	0	COMPOSITIONAL	2	n1	
w69:228	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w69:316	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w69:448	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w69:86	1	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
