job_id	out_idx	verdict	cone_size	required_siblings	detail
w14:420	2	OPERATOR	12		diverges alone (cone 12)
w14:44	2	OPERATOR	9		diverges alone (cone 9)
w14:445	2	OPERATOR	3		diverges alone (cone 3)
w14:45	0	OPERATOR	3		diverges alone (cone 3)
w14:450	0	OPERATOR	2		diverges alone (cone 2)
w14:467	0	GRAPHOPT	7	n6	needs siblings ['n6']
w14:473	4	OPERATOR	2		diverges alone (cone 2)
w14:474	3	OPERATOR	3		diverges alone (cone 3)
w14:483	3	OPERATOR	4		diverges alone (cone 4)
w14:486	0	NOREPRO	4		full graph diverges=False
w14:498	0	OPERATOR	4		diverges alone (cone 4)
w14:509	0	OPERATOR	2		diverges alone (cone 2)
w14:511	0	OPERATOR	4		diverges alone (cone 4)
w14:517	0	OPERATOR	5		diverges alone (cone 5)
w14:532	2	OPERATOR	5		diverges alone (cone 5)
w14:546	0	OPERATOR	2		diverges alone (cone 2)
w14:553	0	GRAPHOPT	5	n6	needs siblings ['n6']
w14:56	0	OPERATOR	4		diverges alone (cone 4)
w14:562	1	GRAPHOPT	8	n3,n7	needs siblings ['n3', 'n7']
w14:579	2	OPERATOR	4		diverges alone (cone 4)
w14:587	0	OPERATOR	2		diverges alone (cone 2)
w14:595	2	OPERATOR	5		diverges alone (cone 5)
w14:597	0	OPERATOR	4		diverges alone (cone 4)
w14:604	0	OPERATOR	2		diverges alone (cone 2)
w14:608	0	OPERATOR	5		diverges alone (cone 5)
w14:609	2	OPERATOR	3		diverges alone (cone 3)
w14:627	0	OPERATOR	2		diverges alone (cone 2)
w14:640	3	OPERATOR	4		diverges alone (cone 4)
w14:642	0	OPERATOR	2		diverges alone (cone 2)
w14:644	1	OPERATOR	3		diverges alone (cone 3)
w14:662	0	GRAPHOPT	5	n7	needs siblings ['n7']
w14:678	0	OPERATOR	4		diverges alone (cone 4)
w14:68	0	GRAPHOPT	6	n8	needs siblings ['n8']
w14:691	2	OPERATOR	3		diverges alone (cone 3)
w14:699	1	OPERATOR	4		diverges alone (cone 4)
w14:724	4	OPERATOR	2		diverges alone (cone 2)
w14:725	1	OPERATOR	4		diverges alone (cone 4)
w14:729	0	OPERATOR	3		diverges alone (cone 3)
w14:731	3	OPERATOR	4		diverges alone (cone 4)
w14:740	0	OPERATOR	3		diverges alone (cone 3)
w14:768	2	OPERATOR	4		diverges alone (cone 4)
w14:82	2	OPERATOR	4		diverges alone (cone 4)
w14:90	0	OPERATOR	2		diverges alone (cone 2)
w15:10	0	OPERATOR	3		diverges alone (cone 3)
w15:118	0	NOREPRO	4		full graph diverges=False
w15:121	2	OPERATOR	8		diverges alone (cone 8)
w15:124	2	OPERATOR	3		diverges alone (cone 3)
w15:125	0	GRAPHOPT	6	n6,n8	needs siblings ['n6', 'n8']
w15:189	1	GRAPHOPT	6	n6	needs siblings ['n6']
w15:19	2	OPERATOR	3		diverges alone (cone 3)
w15:190	2	OPERATOR	3		diverges alone (cone 3)
w15:192	1	OPERATOR	7		diverges alone (cone 7)
w15:193	0	OPERATOR	3		diverges alone (cone 3)
