w11:112	1	LOWERFAIL	3		dev=TIMEOUT
w11:167	1	OPERATOR	4		diverges alone (cone 4)
w11:185	2	GRAPHOPT	10	n1,n5,n8,n9	needs siblings ['n1', 'n5', 'n8', 'n9']
w11:275	0	OPERATOR	2		diverges alone (cone 2)
w11:300	0	NOREPRO	6		full graph diverges=False
w11:322	2	OPERATOR	4		diverges alone (cone 4)
w11:335	0	LOWERFAIL	7		dev=TIMEOUT
w11:336	0	LOWERFAIL	4		dev=TIMEOUT
w11:354	1	LOWERFAIL	4		dev=TIMEOUT
w11:383	1	LOWERFAIL	10		dev=TIMEOUT
w11:386	0	OPERATOR	3		diverges alone (cone 3)
w11:39	2	LOWERFAIL	3		dev=TIMEOUT
w11:410	0	LOWERFAIL	2		dev=TIMEOUT
w11:450	1	LOWERFAIL	6		dev=TIMEOUT
w11:454	0	LOWERFAIL	2		dev=TIMEOUT
w11:459	3	LOWERFAIL	5		dev=TIMEOUT
w11:47	0	LOWERFAIL	4		dev=TIMEOUT
w11:480	0	GRAPHOPT	8	n6,n7	needs siblings ['n6', 'n7']
w1:149	0	OPERATOR	3		diverges alone (cone 3)
w1:151	0	LOWERFAIL	3		dev=TIMEOUT
w11:558	3	LOWERFAIL	4		dev=TIMEOUT
w11:571	3	LOWERFAIL	4		dev=TIMEOUT
w11:576	1	OPERATOR	3		diverges alone (cone 3)
w1:159	2	LOWERFAIL	4		align(et=2,eager=4)
w11:612	0	LOWERFAIL	3		dev=TIMEOUT
w11:620	0	LOWERFAIL	2		dev=TIMEOUT
w1:162	2	LOWERFAIL	5		dev=TIMEOUT
w11:626	2	LOWERFAIL	3		dev=TIMEOUT
w11:638	1	LOWERFAIL	4		dev=TIMEOUT
w11:689	3	OPERATOR	5		diverges alone (cone 5)
w1:169	1	LOWERFAIL	3		dev=TIMEOUT
w11:705	2	GRAPHOPT	7	n6	needs siblings ['n6']
w11:713	1	OPERATOR	4		diverges alone (cone 4)
w11:718	1	LOWERFAIL	6		dev=TIMEOUT
w11:722	0	LOWERFAIL	2		dev=TIMEOUT
w11:81	3	LOWERFAIL	3		dev=TIMEOUT
w11:847	2	LOWERFAIL	3		dev=TIMEOUT
w11:86	2	OPERATOR	5		diverges alone (cone 5)
w11:884	1	OPERATOR	3		diverges alone (cone 3)
w11:911	0	LOWERFAIL	3		dev=TIMEOUT
w11:969	4	LOWERFAIL	4		dev=TIMEOUT
w1:20	1	LOWERFAIL	3		dev=TIMEOUT
w1:204	1	LOWERFAIL	6		dev=TIMEOUT
w12:1005	2	LOWERFAIL	3		dev=TIMEOUT
w12:1010	2	LOWERFAIL	3		dev=TIMEOUT
w12:101	1	LOWERFAIL	5		dev=TIMEOUT
w12:1034	0	LOWERFAIL	3		dev=TIMEOUT
w12:110	0	LOWERFAIL	7		dev=TIMEOUT
w12:156	2	OPERATOR	3		diverges alone (cone 3)
w12:2	0	LOWERFAIL	5		dev=TIMEOUT
w12:269	1	OPERATOR	8		diverges alone (cone 8)
w12:270	2	OPERATOR	2		diverges alone (cone 2)
w12:283	0	OPERATOR	2		diverges alone (cone 2)
w12:310	2	LOWERFAIL	4		dev=TIMEOUT
w12:335	1	LOWERFAIL	3		dev=TIMEOUT
w12:340	3	LOWERFAIL	4		dev=TIMEOUT
w12:341	2	LOWERFAIL	3		dev=TIMEOUT
